timestamp,text,label
2025-09-22T13:33:00,"I can't focus on studying, feeling anxious.",negative
2025-09-12T19:04:00,"So stressed about my grades, can't sleep.",negative
2025-09-28T06:45:00,"So stressed about my grades, can't sleep.",negative
2025-09-06T18:01:00,I feel hopeless about keeping up with workload.,negative
2025-09-21T21:19:00,"I did well on my last assignment, relieved.",positive
2025-09-15T11:09:00,I'm overwhelmed with exams and assignments.,negative
2025-09-04T09:27:00,I feel hopeless about keeping up with workload.,negative
2025-09-11T10:36:00,I'm overwhelmed with exams and assignments.,negative
2025-09-23T16:33:00,Feeling okay — a bit tired.,neutral
2025-09-17T03:54:00,Relaxed after a good study session.,positive
2025-09-26T20:22:00,I'm overwhelmed with exams and assignments.,negative
2025-09-15T14:10:00,"Studying today, average stress level.",neutral
2025-09-24T14:54:00,"So stressed about my grades, can't sleep.",negative
2025-09-26T09:09:00,Feeling calm after planning my study schedule.,positive
2025-09-08T23:51:00,I feel hopeless about keeping up with workload.,negative
2025-09-09T22:02:00,I feel hopeless about keeping up with workload.,negative
2025-09-23T06:22:00,Feeling okay — a bit tired.,neutral
2025-09-18T10:55:00,I'm overwhelmed with exams and assignments.,negative
2025-09-11T19:22:00,Busy but coping with the schedule.,neutral
2025-09-04T16:05:00,"I did well on my last assignment, relieved.",positive
2025-09-22T04:40:00,Feeling calm after planning my study schedule.,positive
2025-09-19T09:03:00,Feeling prepared for the upcoming test.,positive
2025-09-05T15:47:00,"I can't focus on studying, feeling anxious.",negative
2025-09-05T02:59:00,I have a lot to do but managing okay.,neutral
2025-09-25T08:45:00,Feeling okay — a bit tired.,neutral
2025-09-27T20:32:00,Feeling calm after planning my study schedule.,positive
2025-09-27T23:11:00,I'm overwhelmed with exams and assignments.,negative
2025-09-19T18:42:00,I'm overwhelmed with exams and assignments.,negative
2025-09-25T16:00:00,Relaxed after a good study session.,positive
2025-09-14T17:37:00,I have a lot to do but managing okay.,neutral
2025-09-04T23:36:00,I'm overwhelmed with exams and assignments.,negative
2025-09-22T16:04:00,"Studying today, average stress level.",neutral
2025-09-15T11:33:00,I have a lot to do but managing okay.,neutral
